i,Action,Industry,Country,ИНН
ARM,suspend shipments according to sanctions,Information Technology,United Kingdom,7705489930
Asian Infrastructure Investment Bank,curtail Russian access to capital markets,Financials,China,
Asos,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,4712021431
Association of International Certified Professional Accountants,indefinite suspension of services within Russia,Industrials,United States,
Aston Martin,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,7734554051
Asus,suspend shipments to Russia,Information Technology,Taiwan,7702402151
Atlas Copco,suspend deliveries in Russia,Industrials,Sweden,7710218759
Atlassian,suspend software sales to Russia,Information Technology,Australia,
Audi,suspend operations at Kaluga assembly plant,Consumer Discretionary,Germany,1655023917
Austrian Airlines,cancel Russian flights until July,Industrials,Austria,
Authentic Brands Group - Reebok,successfully completed suspension of all operations,Consumer Discretionary,United States,
Autodesk,suspend operations in Russia,Information Technology,United States,7703642460
Avast,suspend all operations in Russia,Information Technology,Czech Republic,9704118260
AXA,stop underwriting new insurance & stop renewals,Financials,France,7710045520
AXA Investments Managers,pause investments & prohibit new subscriptions,Financials,France,
Azerbaijan Airlines,suspend flights to Russia,Industrials,Azerbaijan,
B Lab,suspend Russian companies from obtaining certifications,NGO,United States,9725060275
Badminton World Federation,cancel all tournaments,NGO,Malaysia,
Bain,suspend consulting for all Russian businesses,Industrials,United States,7707808892
Baker Hughes,no longer provide engineering services to Russian LNG developers,Energy,United States,7714024384
Bang & Olufsen,suspended deliveries and sales to Russia,Information Technology,Denmark,
Bank of China,curtail Russian access to capital markets,Financials,China,7750005926
BCG,suspend operations; Moscow office open,Industrials,United States,7701916605
Bentley,suspend all shipments to Russia,Consumer Discretionary,United States,7719575410
Bentley Systems,pause sales to Russia & Belarus,Information Technology,United States,7719575410
Big Fish Games,suspend downloadable game business in Russia,Communication Services,United States,
Bitdefender,suspend all sales to Russia,Information Technology,Romania,
BlackBerry,cease all activities in Russia,Information Technology,Canada,7806586048
BMC,suspend all business with Russia & Belarus,Information Technology,United States,7805140412
BMW,suspend exports to and production in Russia,Consumer Discretionary,Germany,5047093433
BNP Paribas,suspend new business in Russia/curtail financing,Financials,France,7714701780
Boeing,suspend operations in Russia/titanium purchases,Industrials,United States,6607011815
Bombardier,restrict Russian business,Industrials,Canada,7701958299
Boohoo Group,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,
Booking,suspend bookings in Russia,Consumer Discretionary,United States,7810921845
Boosteroid Cloud Gaming,suspend services to Russia,Information Technology,United Arab Emirates,
Boryszew,suspended operations in Russia,Materials,Poland,5222070456
Brav,suspend sales and operations in Russia,Consumer Discretionary,Norway,4205131763
Bridgestone Tire,suspend manufacturing in Russia and shipments into,Consumer Discretionary,Japan,
British Airways,cancel Russian flights,Industrials,United Kingdom,
Brown-Forman,suspend commercial operations in Russia,Consumer Staples,United States,7709956984
BUDVAR Centrum Sp. z.o.o.,,Industrials,Poland,
Budweiser Budvar,suspends production and supply of beer,Consumer Staples,Czech Republic,
Bulgaria Air,suspend flights to Russia,Industrials,Bulgaria,7714831677
Bulgarian Postbank,stop operations in Russian ruble,Financials,Bulgaria,
bunq.com,suspend SWIFT transfers to sanctioned banks,Financials,Netherlands,
Burberry,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,7714913859
Burger King (Restaurant Brands),halt corporate support for franchises,Consumer Staples,United States,
Buta Airways,suspend flights to Russia,Industrials,Azerbaijan,
Canada Goose,suspend all shipments to Russia,Consumer Discretionary,Canada,
Canadian Tire,close Russia stores,Consumer Discretionary,Canada,
Canon,suspend deliveries in Russia,Information Technology,Japan,7718840866
Canonical,suspend support & professional services,Information Technology,United Kingdom,7730642155
Capgemini,stop services to Russia,Information Technology,France,7453002182
Cargolux,suspend all shipments into and through Russia,Industrials,Luxembourg,7723856967
Cargotec,stop all sales to Russia & Belarus,Industrials,Finland,7839339164
CBRE,discontinue Russian business,Real Estate,United States,7714624720
CCC,"suspends operations in Russia (delivery to Russia, further expansion)",Consumer Discretionary,Poland,8608060872
CD Projekt,suspends sales of products in Russia & Belarus,Communication Services,Poland,
CERN,suspend Russia's obeserver status; halt new collaborations,NGO,Switzerland,7717590885
Chanel,suspend all operations in Russia,Consumer Discretionary,France,7702331790
Chevron,"Pausing all transactions and sales of refining products, lubricants, and chemicals ",Energy,United States,7743301667
Chipperfield,suspend operations in Russia,Industrials,United Kingdom,
Cie Automotives,temporarily shut down aluminum plant,Consumer Discretionary,Spain,
Ciena,suspend business operations in Russia,Communication Services,United States,7704755829
Citi,expand the scope of the exit process,Financials,United States,4018011762
Citrix,suspend all sales to Russia,Information Technology,United States,7704607531
Cleary Gottlieb,suspend Russian operations,Industrials,United States,
Clorox,suspend business activity in Russia,Consumer Staples,United States,7730506522
Clutch,suspend all business activity,Industrials,United States,7723337129
CMA CGM,suspend all shipments to Russia,Industrials,France,7705563140
CME Group,suspend acceptance of certain Russian commodities,Financials,United States,
CNH Industrial,suspend sales to Russia,Industrials,United Kingdom,7709411187
Cogent Communications,cut all internet to Russia,Communication Services,United States,7743767793
Columbia Sportswear,pause taking any new orders from Russian distributor & remove future sales,Consumer Discretionary,United States,
Commerzbank,suspend operations in Russia,Financials,Germany,7744000912
Conde Nast,suspend all publishing operations,Communication Services,United States,
Conformis,suspend distribution operations in Russia,Health Care,United States,7839012391
Costco,stopped purchases from Russia,Consumer Discretionary,United States,7724785684
Coupa,suspend operations in Russia,Information Technology,United States,5038073374
Coursera,platform available; refrain from financial benefits from the region; suspend some content,Consumer Discretionary,United States,
Credit Agricole,suspend all services in Russia,Financials,France,7831000612
Crocs,suspend D2C business,Consumer Discretionary,United States,7705829600
Curve,no longer allow Russian payment cards & transaction in RUB,Financials,United Kingdom,7734682590
Cyprus Airways,suspend flights to Russia,Industrials,Cyprus,
d&b audiotechnik,suspend all shipments to Russia,Consumer Discretionary,Germany,9718155409
DACHSER,suspend deliveries to Russia,Industrials,Germany,7714724770
Daimler Truck,freeze activities in Russia,Consumer Discretionary,Germany,1650032058
Damen,"stop supplying ships to Russia, halt new contracts",Industrials,Netherlands,7717090762
Danaher,suspended shipments to Russia except for humanitarian medical products,Health Care,United States,
Dassault Aviation,suspend all shipments to Russia,Industrials,France,
Dassault Systèmes,suspend business operations in Russia,Information Technology,France,
Debevoise & Plimpton,Wind down Russia operations; local partners and counsel open Russian business,Industrials,United States,
Decathlon,suspend the operation of its stores in Russia,Consumer Discretionary,France,5029086747
Deckers,suspend business in Russia,Consumer Discretionary,United States,
